plant_community_code,analysis_name,prominence_value,constancy_percent
CPC16,Heterotheca_villosa,0.44,40
CPC16,Juncus_balticus,0.28,40
CPC16,Juniperus_horizontalis,25.86,100
CPC16,Koeleria_macrantha,0.94,80
CPC16,Rosa_arkansana,1.17,40
CPC16,Solidago_missouriensis,3.84,100
CPC16,Sporobolus_rigidus,3.28,100
CPC16,Vicia_americana,0.19,40
CPC17,Achillea_millefolium,0.23,33.3
CPC17,Agoseris_glauca,0.22,22.2
CPC17,Androsace_septentrionalis,0.14,50
CPC17,Antennaria_parvifolia,1,33.3
CPC17,Arctostaphylos_uva-ursi,1.92,33.3
CPC17,Artemisia_campestris,0.47,27.8
CPC17,Artemisia_frigida,2.32,88.9
CPC17,Artemisia_ludoviciana,0.74,55.6
CPC17,Bouteloua_gracilis,1.38,61.1
CPC17,Campanula_rotundifolia,0.58,72.2
CPC17,Carex,8.75,94.4
CPC17,Cerastium_arvense,1.37,77.8
CPC17,Chamaerhodos_erecta,0.2,22.2
CPC17,Elymus_trachycaulus,0.74,33.3
CPC17,Equisetum_hyemale,0.12,38.9
CPC17,Festuca_hallii,1.28,66.7
CPC17,Festuca_saximontana,3.69,83.3
CPC17,Galium_boreale,1.3,33.3
CPC17,Helictochloa_hookeri,0.39,22.2
CPC17,Hesperostipa_comata,2.39,83.3
CPC17,Hesperostipa_curtiseta,2,55.6
CPC17,Heterotheca_villosa,0.38,44.4
CPC17,Juncus_balticus,0.43,27.8
CPC17,Juniperus_horizontalis,21.19,100
CPC17,Koeleria_macrantha,2.46,100
CPC17,Oxytropis_campestris,0.56,27.8
CPC17,Populus_tremuloides,2.7,66.7
CPC17,Prunus_virginiana,2.99,61.1
CPC17,Rosa_arkansana,0.69,27.8
CPC17,Rosa_woodsii,1.65,55.6
CPC17,Solidago_missouriensis,1.27,83.3
CPC17,Spiraea_alba,0.98,27.8
CPC17,Sporobolus_rigidus,4.76,94.4
CPC17,Symphoricarpos_occidentalis,1.06,22.2
CPC17,Thermopsis_rhombifolia,1.1,38.9
CPC17,Vicia_americana,0.54,22.2
CPC18,Achillea_millefolium,0.5,58.3
CPC18,Agrostis_scabra,0.15,25
CPC18,Androsace_septentrionalis,0.12,50
CPC18,Antennaria_parvifolia,1.72,41.7
CPC18,Arctostaphylos_uva-ursi,8.5,100
CPC18,Artemisia_campestris,0.45,41.7
CPC18,Artemisia_frigida,3.2,66.7
CPC18,Artemisia_ludoviciana,0.81,83.3
CPC18,Campanula_rotundifolia,0.36,75
CPC18,Carex,6.31,91.7
CPC18,Cerastium_arvense,1.4,83.3
CPC18,Chamaerhodos_erecta,0.2,25
CPC18,Comandra_umbellata,0.07,25
CPC18,Elymus_trachycaulus,0.71,75
CPC18,Equisetum_hyemale,0.21,41.7
CPC18,Festuca_hallii,2.86,83.3
CPC18,Festuca_saximontana,3.98,91.7
CPC18,Gaillardia_aristata,0.2,33.3
