"","cluster","neighbor","sil_width"
"592",2,1,0.392565500933989
"387",2,1,0.392539021389254
"278",2,1,0.392335527924073
"310",2,1,0.39195890559646
"1597",2,1,0.391823923862056
"1649",2,1,0.391804919746037
"666",2,1,0.391740240348397
"1379",2,1,0.39149782503553
"1054",2,1,0.391353681750141
"1276",2,1,0.391338909833841
"1641",2,1,0.391202574961092
"1731",2,1,0.391190404473701
"608",2,1,0.391112654675704
"1253",2,1,0.391003203336284
"1459",2,1,0.390694760679031
"1523",2,1,0.390675112050824
"1542",2,1,0.389940257659523
"1170",2,1,0.389838800703995
"779",2,1,0.389339480004949
"830",2,1,0.388955922633435
"300",2,1,0.388889923735031
"1595",2,1,0.388443196592931
"1709",2,1,0.388030385337217
"516",2,1,0.387615766453492
"1345",2,1,0.387547998522057
"611",2,1,0.387353548533515
"1522",2,1,0.386823077578039
"856",2,1,0.386752628505983
"930",2,1,0.386460241066039
"1683",2,1,0.386448777893907
"1546",2,1,0.385407469668259
"1289",2,1,0.385152121702796
"1298",2,1,0.385021018277566
"1615",2,1,0.384944202124876
"1728",2,1,0.384494852749601
"1521",2,1,0.384485252327279
"361",2,1,0.384171076409444
"1570",2,1,0.383107481251925
"616",2,1,0.382623662467098
"613",2,1,0.381787328673141
"277",2,1,0.381659207315777
"652",2,1,0.381073571289608
"840",2,1,0.380875395608324
"1752",2,1,0.380862075941371
"1602",2,1,0.38084016783017
"1724",2,1,0.380750691672353
"1065",2,1,0.380746084167071
"1713",2,1,0.380638405691948
"769",2,1,0.380613758908702
"410",2,1,0.38053010007244
"1254",2,1,0.380326367430402
"1066",2,1,0.380284698670922
"368",2,1,0.380128864908625
"818",2,1,0.379981918603247
"761",2,1,0.379693595251242
"1067",2,1,0.379655910174552
"656",2,1,0.379646381363025
"297",2,1,0.379486663390577
"1377",2,1,0.378958792790546
"891",2,1,0.378558463002394
"815",2,1,0.378479721590139
"1002",2,1,0.377993453415277
"1702",2,1,0.377892266583714
"214",2,1,0.377284298502668
"784",2,1,0.377104168321717
"1270",2,1,0.376910955566788
"995",2,1,0.376883984340111
"1055",2,1,0.376776824762775
"170",2,1,0.376761973315786
"213",2,1,0.376745614895065
"111",2,1,0.376296985197261
"926",2,1,0.376295090896269
"1707",2,1,0.375843074224636
"252",2,1,0.375372335955189
"1386",2,1,0.375262254260095
"978",2,1,0.374942171909913
"621",2,1,0.374379982676367
"344",2,1,0.373992018235799
"1651",2,1,0.373785869056274
"1677",2,1,0.373238459766992
"864",2,1,0.372659455494793
"839",2,1,0.372172010337934
"1547",2,1,0.371835224259564
"1113",2,1,0.371598180890798
"1108",2,1,0.371417033820543
"762",2,1,0.371220796157433
"179",2,1,0.371121061543677
"75",2,1,0.37047720229112
"1722",2,1,0.37047184488349
"806",2,1,0.370175250574302
"655",2,1,0.370089467262776
"1343",2,1,0.369754643168923
"821",2,1,0.369549113659736
"508",2,1,0.369482740707579
"281",2,1,0.369436495685411
"1678",2,1,0.369340818565325
"1064",2,1,0.368976861659381
"1112",2,1,0.36891779510814
"1102",2,1,0.368773157249883
"653",2,1,0.368590554442729
"1608",2,1,0.368585615452981
"484",2,1,0.368584919851013
"529",2,1,0.368454872430752
"574",2,1,0.368375537952156
"980",2,1,0.368229596345302
"1120",2,1,0.368119816281231
"220",2,1,0.368044961305817
"1130",2,1,0.368030648025858
"1279",2,1,0.367556356586928
"1708",2,1,0.367554510537375
"982",2,1,0.367373126846885
"335",2,1,0.367196685918597
"95",2,1,0.366997912952364
"352",2,1,0.3667223774658
"924",2,1,0.366608282173217
"1613",2,1,0.366504223079722
"1601",2,1,0.366428813675836
"1369",2,1,0.365687233705007
"1278",2,1,0.365513679422159
"1760",2,1,0.365047120577585
"169",2,1,0.364575834938217
"94",2,1,0.364394423023373
"1798",2,1,0.364227049317164
"1749",2,1,0.364204784556252
"1638",2,1,0.363961521279948
"993",2,1,0.363717101978922
"1612",2,1,0.363510196250108
"1665",2,1,0.363187487606289
"950",2,1,0.363039994079006
"211",2,1,0.36280078331977
"1269",2,1,0.362644387540034
"1039",2,1,0.362435858398383
"910",2,1,0.362123271944528
"362",2,1,0.361932095486776
"1686",2,1,0.36164660417527
"1131",2,1,0.361604137012551
"1623",2,1,0.361372133659328
"667",2,1,0.36105050991033
"842",2,1,0.361012431893911
"1384",2,1,0.36065714554041
"265",2,1,0.360562192143349
"1530",2,1,0.360168640275177
"1617",2,1,0.360089657603686
"955",2,1,0.360011128098216
"1634",2,1,0.359934795440536
"1338",2,1,0.359733869175444
"1109",2,1,0.359116075129502
"1646",2,1,0.359089682956162
"953",2,1,0.359029416795507
"909",2,1,0.358931407061797
"1099",2,1,0.35869174545047
"377",2,1,0.358682348522015
"1826",2,1,0.358674777842292
"1301",2,1,0.358655824217123
"243",2,1,0.358606028453007
"663",2,1,0.358204892034075
"918",2,1,0.358193516214204
"1404",2,1,0.357967027958796
"771",2,1,0.357028929184064
"1727",2,1,0.356938148940396
"960",2,1,0.356283535660925
"841",2,1,0.356180328402812
"827",2,1,0.356092830380027
"1118",2,1,0.355517401000854
"956",2,1,0.355334064784073
"949",2,1,0.355026029984705
"223",2,1,0.354979459483922
"244",2,1,0.354710239046789
"1004",2,1,0.354708380028689
"600",2,1,0.354137217675744
"1650",2,1,0.353992031010788
"813",2,1,0.353819771054998
"929",2,1,0.35379012955527
"1765",2,1,0.353597155047091
"1648",2,1,0.353488677159828
"1123",2,1,0.353353474727579
"809",2,1,0.352902159001368
"1565",2,1,0.352632653721816
"1753",2,1,0.352491250926712
"1061",2,1,0.352472013536425
"996",2,1,0.352390775141156
"855",2,1,0.352279817444877
"1021",2,1,0.351853229786939
"575",2,1,0.351802125003823
"1557",2,1,0.351462920041288
"938",2,1,0.35104487158949
"850",2,1,0.350755933990338
"225",2,1,0.350646474421265
"1640",2,1,0.350379019848274
"1252",2,1,0.350343063727038
"609",2,1,0.35024584440176
"1020",2,1,0.350153184720765
"987",2,1,0.350007487349561
"1734",2,1,0.349532252851192
"773",2,1,0.34944402678879
"301",2,1,0.349391688686659
"1569",2,1,0.349316876524454
"1107",2,1,0.349220520199905
"1001",2,1,0.348659660345633
"1053",2,1,0.348630399796308
"1026",2,1,0.348599919078637
"775",2,1,0.347285330055265
"1611",2,1,0.347218506371391
"602",2,1,0.347013143008427
"723",2,1,0.34673832372754
"819",2,1,0.346535108496838
"837",2,1,0.346447537839219
"1344",2,1,0.346025381445257
"1051",2,1,0.344349749787246
"112",2,1,0.344000728658155
"1116",2,1,0.342680861001635
"1667",2,1,0.342468589608499
"1361",2,1,0.341940002145885
"572",2,1,0.34162751562537
"975",2,1,0.341305108510827
"1764",2,1,0.341201795167252
"1750",2,1,0.340855169558405
"1110",2,1,0.340811617699229
"1653",2,1,0.339951283373261
"134",2,1,0.339889626898095
"224",2,1,0.339390675418395
"1762",2,1,0.339032801590332
"972",2,1,0.339027391028098
"899",2,1,0.338930366247245
"854",2,1,0.338730573101321
"1720",2,1,0.33866936269936
"1405",2,1,0.338200073384361
"1746",2,1,0.338120124611199
"1735",2,1,0.337690634629953
"1128",2,1,0.337059664360385
"685",2,1,0.336798020675043
"999",2,1,0.336605947970354
"364",2,1,0.336474244269638
"811",2,1,0.336096860843902
"1287",2,1,0.335542611422599
"651",2,1,0.335515699725338
"140",2,1,0.335045218469704
"1098",2,1,0.33503962022546
"1558",2,1,0.334772797181764
"981",2,1,0.334524642129172
"1190",2,1,0.334161759142362
"612",2,1,0.33413091289397
"1748",2,1,0.33374647899981
"1210",2,1,0.333308245441055
"822",2,1,0.333131355080843
"313",2,1,0.332693678288821
"196",2,1,0.332684920005793
"286",2,1,0.332609135470032
"358",2,1,0.33249187935821
"904",2,1,0.332254888111923
"631",2,1,0.332114374660643
"174",2,1,0.331988121351109
"1114",2,1,0.33184232069706
"961",2,1,0.331633049986861
"1346",2,1,0.330960270563946
"832",2,1,0.330919416832469
"1364",2,1,0.330738517218381
"490",2,1,0.330348162269105
"1695",2,1,0.32974928541434
"1710",2,1,0.328670009762209
"632",2,1,0.328651908407245
"939",2,1,0.328543038966389
"160",2,1,0.328206023580809
