plant_community_code,analysis_name,prominence_value,constancy_percent
FFA2,Danthonia_intermedia,6.13,46.4
FFA2,Danthonia_parryi,4.28,42.9
FFA2,Dasiphora_fruticosa,0.28,57.1
FFA2,Elymus_lanceolatus,5.55,96.4
FFA2,Elymus_trachycaulus,0.99,64.3
FFA2,Festuca_campestris,35.79,100
FFA2,Festuca_idahoensis,12.25,100
FFA2,Geum_triflorum,3.3,39.3
FFA2,Helictochloa_hookeri,0.97,42.9
FFA2,Hesperostipa_curtiseta,6.41,75
FFA2,Juncus_balticus,0.45,25
FFA2,Juniperus_horizontalis,0.52,32.1
FFA2,Koeleria_macrantha,3.23,92.9
FFA2,Poa_cusickii,1.65,39.3
FFA2,Poa_pratensis,1.96,28.6
FFA2,Poa_secunda,1.63,50
FFA2,Rosa_arkansana,0.28,32.1
FFA23,Arctostaphylos_uva-ursi,0.4,25
